"","taskID","inProgress","completed","owner"
"1",1,0,0,NA
"2",2,0,0,NA
"3",3,0,0,NA
"4",4,0,0,NA
"5",5,0,0,NA
"6",6,0,0,NA
"7",7,0,0,NA
"8",8,0,0,NA
"9",9,0,0,NA
"10",10,0,0,NA
"11",11,0,0,NA
"12",12,0,0,NA
"13",13,0,0,NA
"14",14,0,0,NA
"15",15,0,0,NA
"16",16,0,0,NA
"17",17,0,0,NA
"18",18,0,0,NA
"19",19,0,0,NA
"20",20,0,0,NA
"21",21,0,0,NA
"22",22,0,0,NA
"23",23,0,0,NA
"24",24,0,0,NA
"25",25,0,0,NA
"26",26,0,0,NA
"27",27,0,0,NA
"28",28,0,0,NA
"29",29,0,0,NA
"30",30,0,0,NA
"31",31,0,0,NA
"32",32,0,0,NA
"33",33,0,0,NA
"34",34,0,0,NA
"35",35,0,0,NA
"36",36,0,0,NA
"37",37,0,0,NA
"38",38,0,0,NA
"39",39,0,0,NA
"40",40,0,0,NA
"41",41,0,0,NA
"42",42,0,0,NA
"43",43,0,0,NA
"44",44,0,0,NA
"45",45,0,0,NA
"46",46,0,0,NA
"47",47,0,0,NA
"48",48,0,0,NA
"49",49,0,0,NA
"50",50,0,0,NA
"51",51,0,0,NA
"52",52,0,0,NA
"53",53,0,0,NA
"54",54,0,0,NA
"55",55,0,0,NA
"56",56,0,0,NA
"57",57,0,0,NA
"58",58,0,0,NA
"59",59,0,0,NA
"60",60,0,0,NA
"61",61,0,0,NA
"62",62,0,0,NA
"63",63,0,0,NA
"64",64,0,0,NA
"65",65,0,0,NA
"66",66,0,0,NA
"67",67,0,0,NA
"68",68,0,0,NA
"69",69,0,0,NA
"70",70,0,0,NA
"71",71,0,0,NA
"72",72,0,0,NA
"73",73,0,0,NA
"74",74,0,0,NA
"75",75,0,0,NA
"76",76,0,0,NA
"77",77,0,0,NA
"78",78,0,0,NA
"79",79,0,0,NA
"80",80,0,0,NA
"81",81,0,0,NA
"82",82,0,0,NA
"83",83,0,0,NA
"84",84,0,0,NA
"85",85,0,0,NA
"86",86,0,0,NA
"87",87,0,0,NA
"88",88,0,0,NA
"89",89,0,0,NA
"90",90,0,0,NA
"91",91,0,0,NA
"92",92,0,0,NA
"93",93,0,0,NA
"94",94,0,0,NA
"95",95,0,0,NA
"96",96,0,0,NA
"97",97,0,0,NA
"98",98,0,0,NA
"99",99,0,0,NA
"100",100,0,0,NA
"101",101,1,0,"AW10"
"102",102,1,0,"other"
